numero,situacao,descricao,complemento,classificacao_contabil,localizacao_sistema,data_entrada,valor_compra,valor_atual,local_verificado,estado_conservacao,usuario,data_hora,usuario_bem,imagem,contagem
14652,ATIVO,AR CONDICIONADO,CASSETE HIDRÔNICO 40HK,MÁQUINAS E EQUIPAMENTOS,08 - COFIS - SALA DE REUNIÃO,31/03/2023,"10.505,09","10.505,09",08 - COFIS - SALA DE REUNIÃO,Bom,William de Araújo,2025-12-04 13:14:26,,,0
14653,ATIVO,AR CONDICIONADO,CASSETE HIDRÔNICO 40HK,MÁQUINAS E EQUIPAMENTOS,08 - COFIS - SALA DE REUNIÃO,31/03/2023,"10.505,09","10.505,09",08 - COFIS - SALA DE REUNIÃO,Bom,William de Araújo,2025-12-04 13:14:26,,,0
11472,ATIVO,FILTRO DE ÁGUA,"PURIFICADOR, FR 600, IBBL, 220 V NS 738PO90096",MÁQUINAS E EQUIPAMENTOS,08 - CORREDOR,19/11/2007,"720,00","350,07",08 - CORREDOR,Bom,William de Araújo,2025-12-03 15:01:54,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/11472_1764774057.jpg,0
13037,BAIXADO,IMPRESSORA,IMPRESSORA HP LASERJET CP 2025 COM CABO USB 1.8 MB,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,06/09/2011,"915,00","660,29",,,,,,,1
11688,ATIVO,MESA,RETA 80 X 60 DOADO,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - CORREDOR,26/12/2001,"0,01","141,34",08 - CORREDOR,Bom,William de Araújo,2025-12-03 15:01:54,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/11688_1764774033.jpg,0
10365,ATIVO,MESA,MESA DE CANTO REDONDA PEQUENA C/ TAMPO DE CRISTAL 60X6 12MM,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - SALA VP - VIGGE,11/03/2005,"484,16","235,57",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:53:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10365_1764856380.jpg,0
10786,ATIVO,SOFÁ,"SOFA 02 LUGARES EM COURO MISTO, COR MARROM",MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - SALA VP - VIGGE,18/02/2010,"2.279,68","824,89",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:53:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10786_1764856414.jpg,0
10788,ATIVO,CADEIRA,CADEIRA GIRATORIA DE COURO COM APOIO PARA BRACOS,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - SALA VP - VIGGE,18/02/2010,"2.897,35","724,91",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:51:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10788_1764856440.jpg,0
10789,ATIVO,CADEIRA,"CADEIRA FIXA DE COURO COM BRACOS, LARANJA, MARCA GIROFLEX",MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - SALA VP - VIGGE,18/02/2010,"2.297,58","407,16",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:51:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10789_1764856456.jpg,0
10790,ATIVO,CADEIRA,"CADEIRA FIXA DE COURO COM BRACOS, LARANJA, MARCA GIROFLEX",MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - SALA VP - VIGGE,18/02/2010,"2.297,58","397,35",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:51:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10790_1764856471.jpg,0
13797,ATIVO,TELEFONE UTENSILIO ESC,APARELHO TELEFÔNICO MARCA ALCATEL MOD. 4029,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - SALA VP - VIGGE,17/12/2015,"592,00","592,00",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:53:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/13797_1764856496.jpg,0
14592,ATIVO,TELEVISÃO,SMART TV TCL 75P 4K GOOGLE TV WIFI COMANDO DE VOZ 75P735,MÁQUINAS E EQUIPAMENTOS,08 - SALA VP - VIGGE,27/02/2023,"5.800,00","5.800,00",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:53:25,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/14592_1764856509.jpg,0
